"scene_number","scene_heading","motif_id","motif","source_principale","reference_iliade","source_attendue","statut_probable","priorite","raison_entree_audit"
"77","EXT. PALACE GARDEN - NIGHT","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"77","EXT. PALACE GARDEN - NIGHT","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"78","INT. HECTOR'S CHAMBER - NIGHT","duel_achille_hector","Duel Achille / Hector","L'Iliade","Chant VI","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"78","INT. HECTOR'S CHAMBER - NIGHT","femmes_troyennes","Femmes troyennes et captives","L'Iliade","Chant VI","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"78","INT. HECTOR'S CHAMBER - NIGHT","hector_andromaque_astyanax","Hector, Andromaque, Astyanax","L'Iliade","Chant VI","Iliade, Chant VI / Euripide selon contexte","reprise ou deplacement","haute","match: HECTOR|Hector + ANDROMACHE|Andromaque|ASTYANAX|Astyanax|Scamandrius|Scamandrios"
"80","EXT. PALACE GARDEN - CONTINUOUS","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"80","EXT. PALACE GARDEN - CONTINUOUS","mort_agamemnon","Mort ou destin d Agamemnon","Adaptation CinÃ©ma","","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"80","EXT. PALACE GARDEN - CONTINUOUS","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"80","EXT. PALACE GARDEN - CONTINUOUS","priam_achille_corps_hector","Priam chez Achille et restitution du corps","Adaptation CinÃ©ma","","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"82","INT. ACHILLES' TENT - LATER - DAY","mort_agamemnon","Mort ou destin d Agamemnon","L'Iliade","Chant I, Chant IX","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"82","INT. ACHILLES' TENT - LATER - DAY","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant I, Chant IX","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"82","INT. ACHILLES' TENT - LATER - DAY","patrocle_armes_achille","Patrocle et les armes d Achille","L'Iliade","Chant I, Chant IX","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"82","INT. ACHILLES' TENT - LATER - DAY","priam_achille_corps_hector","Priam chez Achille et restitution du corps","L'Iliade","Chant I, Chant IX","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"82","INT. ACHILLES' TENT - LATER - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","L'Iliade","Chant I, Chant IX","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"84","EXT. BATTLEFIELD - CONTINUOUS","duel_paris_menelas","Duel Paris / Menelas","L'Iliade","Chant III","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"84","EXT. BATTLEFIELD - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant III","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"84","EXT. BATTLEFIELD - CONTINUOUS","paris_helene_sparte","Paris, Helene et Sparte","L'Iliade","Chant III","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"86","EXT. BLUFF - DAY","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"86","EXT. BLUFF - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"87","EXT. BATTLEFIELD - DAY","duel_achille_hector","Duel Achille / Hector","L'Iliade","Chant III","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"88","EXT. WALLS OF TROY - DAY","paris_helene_sparte","Paris, Helene et Sparte","L'Iliade","Chant III","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"89","EXT. BATTLEFIELD - DAY","ajax","Ajax","L'Iliade","Chant III","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"89","EXT. BATTLEFIELD - DAY","duel_paris_menelas","Duel Paris / Menelas","L'Iliade","Chant III","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"89","EXT. BATTLEFIELD - DAY","paris_helene_sparte","Paris, Helene et Sparte","L'Iliade","Chant III","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"91","EXT. BLUFF - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant III","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"91","EXT. BLUFF - CONTINUOUS","patrocle_armes_achille","Patrocle et les armes d Achille","L'Iliade","Chant III","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"92","EXT. BATTLEFIELD - CONTINUOUS","paris_helene_sparte","Paris, Helene et Sparte","L'Iliade","Chant III","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"93","EXT. WALLS OF TROY - CONTINUOUS","priam_achille_corps_hector","Priam chez Achille et restitution du corps","L'Iliade","Chant III","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"94","EXT. BATTLEFIELD - CONTINUOUS","duel_paris_menelas","Duel Paris / Menelas","Adaptation CinÃ©ma","","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"94","EXT. BATTLEFIELD - CONTINUOUS","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"94","EXT. BATTLEFIELD - CONTINUOUS","mort_agamemnon","Mort ou destin d Agamemnon","Adaptation CinÃ©ma","","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"94","EXT. BATTLEFIELD - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"94","EXT. BATTLEFIELD - CONTINUOUS","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"94","EXT. BATTLEFIELD - CONTINUOUS","survie_paris","Survie ou destin de Paris","Adaptation CinÃ©ma","","Cycle Troyen / adaptation","invention contradictoire probable","moyenne","match: PARIS|P[âa]ris + survit|survie|fuit|fuite|final|mort|Apollon|Apollo"
"95","EXT. BLUFF - CONTINUOUS","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"96","EXT. BATTLEFIELD - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"96","EXT. BATTLEFIELD - CONTINUOUS","sac_chute_troie","Sac et chute de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"97","EXT. BLUFF - CONTINUOUS","querelle_achille_agamemnon","Querelle Achille / Agamemnon","L'Iliade","Chant I","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"98","EXT. BATTLEFIELD - CONTINUOUS","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"98","EXT. BATTLEFIELD - CONTINUOUS","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"98","EXT. BATTLEFIELD - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"98","EXT. BATTLEFIELD - CONTINUOUS","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"99","EXT. BLUFF - CONTINUOUS","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"99","EXT. BLUFF - CONTINUOUS","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"100","EXT. BATTLEFIELD - DAY","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"100","EXT. BATTLEFIELD - DAY","mort_agamemnon","Mort ou destin d Agamemnon","Adaptation CinÃ©ma","","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"100","EXT. BATTLEFIELD - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"101","EXT. WALLS OF TROY","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"102","EXT. BATTLEFIELD","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"102","EXT. BATTLEFIELD","duel_achille_hector","Duel Achille / Hector","Adaptation CinÃ©ma","","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"103","EXT. BEACH ENCAMPMENT","ajax","Ajax","L'Iliade","Chant VII","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"103","EXT. BEACH ENCAMPMENT","mort_agamemnon","Mort ou destin d Agamemnon","L'Iliade","Chant VII","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"103","EXT. BEACH ENCAMPMENT","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant VII","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"103","EXT. BEACH ENCAMPMENT","sac_chute_troie","Sac et chute de Troie","L'Iliade","Chant VII","Cycle Troyen / Virgile Eneide II / Euripide","reprise post-iliadique, deplacement ou invention contradictoire","haute","match: sac de Troie|chute de Troie|Troie tombe|burns|br[uû]le|incendie|ville|cit[ée]|Pergame"
"104","EXT. BATTLEFIELD - LATER","ajax","Ajax","HÃ©ritage GrÃ©co-Romain","Chant VII","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"104","EXT. BATTLEFIELD - LATER","mort_agamemnon","Mort ou destin d Agamemnon","HÃ©ritage GrÃ©co-Romain","Chant VII","Eschyle Agamemnon / Odyssee / adaptation","invention contradictoire probable","haute","match: AGAMEMNON|Agamemnon + mort|tu[eé]|Clytemnestre|Clytemnestra|Bris[eé]is"
"105","INT. PARIS'S BEDCHAMBER -NIGHT","duel_paris_menelas","Duel Paris / Menelas","Adaptation CinÃ©ma","","Iliade, Chant III","reprise ou deplacement","haute","match: duel|combat|affronte|MENELAUS|M[eé]n[eé]las + PARIS|P[âa]ris"
"105","INT. PARIS'S BEDCHAMBER -NIGHT","paris_helene_sparte","Paris, Helene et Sparte","Adaptation CinÃ©ma","","Cycle Troyen / Iliade / Odyssee selon contexte","reprise, deplacement ou invention contradictoire selon scene","haute","match: PARIS|P[âa]ris|HELEN|H[eé]l[eè]ne|SPARTA|Sparte|MENELAUS|M[eé]n[eé]las"
"106","EXT. BEACH ENCAMPMENT - NIGHT","ajax","Ajax","Adaptation CinÃ©ma","","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"107","INT. AGAMEMNON'S TENT - NIGHT","ajax","Ajax","L'Iliade","Chant IX","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"107","INT. AGAMEMNON'S TENT - NIGHT","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant IX","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"107","INT. AGAMEMNON'S TENT - NIGHT","querelle_achille_agamemnon","Querelle Achille / Agamemnon","L'Iliade","Chant IX","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"108","EXT. GREEK CAMPFIRE - NIGHT","noms_secondaires","Noms propres secondaires a verifier","Adaptation CinÃ©ma","","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"108","EXT. GREEK CAMPFIRE - NIGHT","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"109","EXT. ACHILLES' TENT - NIGHT","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"109","EXT. ACHILLES' TENT - NIGHT","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"110","INT. ACHILLES' TENT - LATER","briseis","Briseis","Adaptation CinÃ©ma","","Iliade, Chant I / adaptation filmique a verifier","invention contradictoire probable pour la genealogie filmique","haute","match: BRISEIS|Bris[eé]is"
"110","INT. ACHILLES' TENT - LATER","patrocle_armes_achille","Patrocle et les armes d Achille","Adaptation CinÃ©ma","","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"112","INT. ACHILLES' TENT - LATER","briseis","Briseis","Adaptation CinÃ©ma","","Iliade, Chant I / adaptation filmique a verifier","invention contradictoire probable pour la genealogie filmique","haute","match: BRISEIS|Bris[eé]is"
"115","EXT. ACHILLES' TENT - CONTINUOUS","ajax","Ajax","L'Iliade","Chant IX, Chant XVI","Iliade / Sophocle Ajax / Cycle Troyen","invention contradictoire probable pour sa mort filmique","haute","match: AJAX|Ajax"
"115","EXT. ACHILLES' TENT - CONTINUOUS","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant IX, Chant XVI","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"115","EXT. ACHILLES' TENT - CONTINUOUS","patrocle_armes_achille","Patrocle et les armes d Achille","L'Iliade","Chant IX, Chant XVI","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"115","EXT. ACHILLES' TENT - CONTINUOUS","querelle_achille_agamemnon","Querelle Achille / Agamemnon","L'Iliade","Chant IX, Chant XVI","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"116","INT. PRIAM'S MEETING HALL - MORNING","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant XII","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"116","INT. PRIAM'S MEETING HALL - MORNING","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant XII","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"116","INT. PRIAM'S MEETING HALL - MORNING","priam_achille_corps_hector","Priam chez Achille et restitution du corps","L'Iliade","Chant XII","Iliade, Chant XXIV","reprise avec simplification","haute","match: PRIAM|Priam + ACHILLES|Achille|HECTOR|Hector|corps|body"
"117","EXT. ACHILLES' WARSHIP - LATER - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant IX","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"118","INT. ACHILLES' WARSHIP - DAY","briseis","Briseis","L'Iliade","Chant IX","Iliade, Chant I / adaptation filmique a verifier","invention contradictoire probable pour la genealogie filmique","haute","match: BRISEIS|Bris[eé]is"
"118","INT. ACHILLES' WARSHIP - DAY","inventions_geo_politiques","Inventions geographiques ou politiques du film","L'Iliade","Chant IX","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
"119","EXT. AGAMEMNON'S TENT - DAY","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"119","EXT. AGAMEMNON'S TENT - DAY","querelle_achille_agamemnon","Querelle Achille / Agamemnon","Adaptation CinÃ©ma","","Iliade, Chant I","deplacement ou invention sur fond emprunte selon scene","haute","match: ACHILLES|Achille + AGAMEMNON|Agamemnon"
"120","EXT. HIGH DUNES - CONTINUOUS","cheval_troie","Cheval de Troie","Adaptation CinÃ©ma","","Cycle Troyen / Virgile Eneide II / Odyssee VIII","reprise post-iliadique ou invention sur fond emprunte","haute","match: cheval|horse|wooden horse|bois|Épéios|Epeios|Sinon|Laocoon"
"121","EXT. BEACH ENCAMPMENT - CONTINUOUS","duel_achille_hector","Duel Achille / Hector","L'Iliade","Chant XVI","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"121","EXT. BEACH ENCAMPMENT - CONTINUOUS","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant XVI","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"121","EXT. BEACH ENCAMPMENT - CONTINUOUS","patrocle_armes_achille","Patrocle et les armes d Achille","L'Iliade","Chant XVI","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"122","EXT. ACHILLES' WARSHIP - LATER","briseis","Briseis","L'Iliade","Chant XVIII","Iliade, Chant I / adaptation filmique a verifier","invention contradictoire probable pour la genealogie filmique","haute","match: BRISEIS|Bris[eé]is"
"122","EXT. ACHILLES' WARSHIP - LATER","duel_achille_hector","Duel Achille / Hector","L'Iliade","Chant XVIII","Iliade, Chant XXII","reprise ou deplacement selon scene","haute","match: ACHILLES|Achille + HECTOR|Hector"
"122","EXT. ACHILLES' WARSHIP - LATER","noms_secondaires","Noms propres secondaires a verifier","L'Iliade","Chant XVIII","Iliade / mythographes / geographie selon nom","a verifier nom par nom","moyenne","match: Triopas|Boagrius|Tecton|Lysander|Archeptolemus|Velior|Eudorus|Aphaereus|Aphareus|Echepolus|Haemon|Polydora|Glaucus"
"122","EXT. ACHILLES' WARSHIP - LATER","patrocle_armes_achille","Patrocle et les armes d Achille","L'Iliade","Chant XVIII","Iliade, Chant XVI","reprise avec simplification ou deplacement","haute","match: PATROCLUS|Patrocle|Patroclus + ACHILLES|Achille|arm[eu]s"
"123","EXT. PALACE GARDEN - NIGHT","femmes_troyennes","Femmes troyennes et captives","Adaptation CinÃ©ma","","Euripide Troyennes / Hecube / Andromaque","reprise post-iliadique ou deplacement","moyenne","match: HECUBA|H[eé]cube|CASSANDRA|Cassandre|ANDROMACHE|Andromaque|captives|femmes troyennes|Troyennes"
"123","EXT. PALACE GARDEN - NIGHT","hector_andromaque_astyanax","Hector, Andromaque, Astyanax","Adaptation CinÃ©ma","","Iliade, Chant VI / Euripide selon contexte","reprise ou deplacement","haute","match: HECTOR|Hector + ANDROMACHE|Andromaque|ASTYANAX|Astyanax|Scamandrius|Scamandrios"
"123","EXT. PALACE GARDEN - NIGHT","inventions_geo_politiques","Inventions geographiques ou politiques du film","Adaptation CinÃ©ma","","Iliade / Cycle Troyen / geographie litteraire / adaptation filmique","invention sur fond emprunte ou invention contradictoire a arbitrer","moyenne","match: Thessal|Mycenae|Myc[eé]nes|Sparte|Sparta|Gr[eè]ce|Greece|unifier|united|empire|royaume|kingdom|politique|alliance|Triopas|Boagrius|tunnel|passage secret|[ÉE]p[eé]e de Troie|Sword of Troy|Phthie|Phthia"
